college_img,college_name,college_course,college_loc,college_fees,AllIndia,Open,Minority
"https://images.static-collegedunia.com/public/college_data/images/appImage/1499430556cccccccccccccccccccccccca.jpg?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","Adarsh College of Pharmacy - [ACOP] Vita, Sangli",B.Pharm ,"Sangli, Maharashtra","95,000",68.88,91.6,77.66
"https://images.static-collegedunia.com/public/college_data/images/appImage/1499681159cgfchgcvjhbkbjkbjkk.png?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","Meruling Shikshan Sanstha's College of Pharmacy Medha, Satara",B.Pharm ,"Satara, Maharashtra","88,000",34.61,80.82,0
"https://images.static-collegedunia.com/public/college_data/images/appImage/1499686401cscdscs.png?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","Viva Institute of Pharmacy Virar, Palghar",B.Pharm ,"Palghar, Maharashtra","84,000",78.24,98.16,0
"https://images.static-collegedunia.com/public/college_data/images/appImage/1500104525cover.jpg?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","Ashokrao Mane College of Pharmacy - [AMCOP], Kolhapur",B.Pharm ,"Kolhapur, Maharashtra","1,05,000",42.14,83.9,0
"https://images.static-collegedunia.com/public/college_data/images/appImage/1500283669banner.jpg?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","Charak College of Pharmacy & Research - [CCPR] Wagholi, Pune",B.Pharm ,"Pune, Maharashtra","88,000",71.13,91.21,0
"https://images.static-collegedunia.com/public/college_data/images/appImage/1500293059charakcollegeofpharmacyresearchwagholipune2.jpg?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","Marathwada Mitra Mandal's College of Pharmacy - [MMCOP], Pune",B.Pharm ,"Pune, Maharashtra","1,15,000",73.26,93.38,0
"https://images.static-collegedunia.com/public/college_data/images/appImage/1564551577Screenshotfrom20190731110812.png?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","K. K. Wagh College of Pharmacy - [KKWCP], Nashik",B.Pharm ,"Nashik, Maharashtra","1,20,000",71.3,95.5,0
"https://images.static-collegedunia.com/public/college_data/images/appImage/1586156120kkcover.jpg?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","Nagpur College of Pharmacy  - [NCP], Nagpur",B.Pharm ,"Nagpur, Maharashtra","80,000",56.38,89.97,0
"https://images.static-collegedunia.com/public/college_data/images/appImage/1599725950Annotation20200910134209.jpg?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","Ahinsa Institute of Pharmacy, Dhule",B.Pharm ,"Dhule, Maharashtra","80,000",35.73,80.58,1.48
"https://images.static-collegedunia.com/public/college_data/images/appImage/1599976641Screenshot20200913112426.jpg?tr=h-130,w-305,c-force"" height=""130px"" src=""data:image/gif;base64,R0lGODlhAQABAIAAAHd3dwAAACH5BAAAAAAALAAAAAABAAEAAAICRAEAOw==""/","Navsahyadri Institute of Pharmacy, Pune",B.Pharm ,"Pune, Maharashtra","90,000",51.41,83.42,0
