college img,college name,college loc,college course,college fees,Open,AllIndia,Minority
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/3532/2018/8/16/Pimpri-Chinchwad-College-of-Engineering-Pune-CV.jpg,PCCOE Pune - Pimpri Chinchwad College of Engineering,"Pune, Maharashtra",BE Computer Engineering,548 236,98.92,96.47,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/2600/2018/5/24/Walchand-College-of-Engineering-Sangli5.png,"Walchand College of Engineering, Sangli","Sangli, Maharashtra",B.Tech Computer Science and Engineering,339 860,97.82,98.94,
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/2632/2018/7/31/Vishwakarma-Institute-of-Information-Technology-Pune-sports.jpg,VIIT Pune - Vishwakarma Institute of Information Technology,"Pune, Maharashtra",BE Computer Engineering,675 576,99.32,97.93,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/3574/2018/7/17/Dr-DY-Patil-Institute-of-Technology-Pune-CAMPUS1.jpg,DYPIET Pimpri - Dr DY Patil Institute of Technology,"Pune, Maharashtra",BE Computer Science Engineering,460 000,96.09,93.77,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/2006/2018/9/24/Campis,"DY Patil College of Engineering, Pune","Pimpri-Chinchwad, Maharashtra",BE Artificial Intelligence and Data Science,493 168,96.09,93.77,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/3137/2018/8/8/Pune-Institute-of-Computer-Technology-Pune4.png,PICT Pune - SCTR's Pune Institute of Computer Technology,"Pune, Maharashtra",BE Computer Engineering,386 000,96.78,94.85,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/4465/2018/4/19/GH-Raisoni-College-of-Engineering-Nagpur-1.jpg,"GH Raisoni College of Engineering, Nagpur","Nagpur, Maharashtra",BE Computer Science and Engineering,642 840,57.18,84.56,8.27
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/4082/2020/11/7/College,"KK Wagh Institute of Engineering Education and Research, Nashik","Nashik, Maharashtra",BE Computer Engineering,316 000,96.7,89.26,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/4618/2018/5/21/DKTES-TEI-Ichalkaranji01.jpg,"DKTE Society's Textile and Engineering Institute, Ichalkaranji","Kolhapur, Maharashtra ReviewAdmissionsCourses &amp;",B.Tech Computer Science and Engineering,382 000,85.63,78.93,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/3132/2019/4/5/Campus,"Shri Guru Gobind Singhji Institute of Engineering and Technology, Vishnupuri","Vishnupuri, Maharashtra",B.Tech Computer Science and Engineering,336 918,69.88,57.18,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/4474/2018/5/17/Fr-Conceicao-Rodrigues-College-Event.jpg,"Fr Conceicao Rodrigues College of Engineering, Mumbai","Mumbai, Maharashtra",BE Computer Engineering,560 000,97.9,96.01,57.53
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/4337/2019/3/4/Campus,"Government College of Engineering and Research, Pune","Awasari Khurd, Maharashtra",B.Tech Computer Engineering,96 659,99.68,98.94,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/1352/2019/7/3/Campus,"Amity University, Mumbai","Navi Mumbai, Maharashtra",B.Tech Computer Science Engineering Three Continent,13 04 000,75.14,63.89,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/3861/2018/8/22/MIT-Academy-of-Engineering-Pune2.jpg,"MIT Academy of Engineering, Pune","Pune, Maharashtra",B.Tech Computer Engineering,622 948,93.65,87.76,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/17608/2020/12/22/Campus,"MIT School of Engineering, Pune","Pune, Maharashtra ReviewAdmissionsCourses &amp;",B.Tech Computer Science and Engineering,871 300,73.05,75.45,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/5155/2019/4/3/College,KJSIEIT Mumbai - KJ Somaiya Institute of Engineering and Information Technology,"Mumbai, Maharashtra",BE Computer Engineering,664 000,97.54,96.84,90.15
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/3991/2018/11/9/College,"KIT's College of Engineering, Kolhapur","Gokul Shirgaon, Maharashtra",B.Tech Computer Science and Engineering,441 320,76.93,78.56,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/1350/2018/6/5/Ajeenkya-DY-Patil-University-Pune-Campus6.jpg,"Ajeenkya DY Patil University, Pune","Pune, Maharashtra",B.Tech Computer Engineering,,95.01,90.51,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/17619/2018/12/3/Campus,"Government College of Engineering, Nagpur","Khapri, Maharashtra  FeesCutoff",BE Computer Science and Engineering,,99.85,98.08,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/2599/2018/7/31/Walchand-Institute-of-Technology-Solapur-CV1.jpg,WIT Solapur - Walchand Institute of Technology,"Solapur, Maharashtra",B.Tech Computer Science and Engineering,422 028,97.82,98.94,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/4475/2018/4/20/Campus-View.jpg,FCRIT Navi Mumbai - Fr C Rodrigues Institute of Technology,"Navi Mumbai, Maharashtra",BE Computer Engineering,544 780,97.9,96.01,57.53
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/1972/2019/7/5/Campus,"Priyadarshini College of Engineering, Nagpur","Nagpur, Maharashtra",BE Computer Technology,,85.67,81.69,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/2014/2018/9/25/College,"Don Bosco Institute of Technology, Mumbai","Mumbai, Maharashtra  Fees",BE Computer Engineering,503 824,97.85,96.37,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/3102/2018/8/7/Dwarkadas-J-Sanghvi-College-Campus-View.png,DJSCE Mumbai - Dwarkadas J Sanghvi College of Engineering,"Mumbai, Maharashtra",BE Computer Engineering,732 736,99.62,98.78,98.81
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/3052/2018/8/7/Shri-Sant-Gajanan-Maharaj-College-of-Engineering-Shegaon-Guest-House.jpg,SSGMCE Shegaon - Shri Sant Gajanan Maharaj College of Engineering,"Shegaon, Maharashtra",BE Computer Science and Engineering,240 000,8.42,40.2,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/4117/2020/8/20/Campus,"Imperial College of Engineering and Research, Pune","Pune, Maharashtra",BE Computer Engineering,425 000,88.49,84.46,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/2909/2018/8/4/St-Francis-Institute-of-Technology-Mumbai-Building.jpg,"St Francis Institute of Technology, Mumbai","Mumbai, Maharashtra",BE Computer Engineering,460 000,95.59,93.62,23.18
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/4990/2020/10/30/Campus,"MH Saboo Siddik College of Engineering, Mumbai","Mumbai, Maharashtra",B.Tech Computer Engineering,263 972,92.93,90.17,86.27
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/2549/2018/10/3/College,"PE Society's Modern College of Engineering, Pune","Pune, Maharashtra",B.Tech Computer Engineering,415 540,96.66,91.1,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/4366/2018/10/1/Campus,"Government College of Engineering, Jalgaon","Jalgaon, Maharashtra",B.Tech Computer Engineering,331 784,89.96,70.11,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/4981/2018/11/3/Campus,"Annasaheb Dange College of Engineering and Technology, Sangli","Ashta, Maharashtra",BE Computer Science and Engineering,404 000,86.32,78.96,0
