college_img,college_name,college_loc,college_course,college_fees,Open,AllIndia,Minority
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/2632/2018/7/31/Vishwakarma-Institute-of-Information-Technology-Pune-sports.jpg,VIIT Pune - Vishwakarma Institute of Information Technology,"Pune, Maharashtra",BE Mechanical Engineering,675 576,66.54,83.37,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/4363/2018/5/17/Government-College-of-Engineering-Amravati2aaaa.jpg,"Government College of Engineering, Amravati","Amravati, Maharashtra",B.Tech Mechanical Engineering,314 920,59.29,37.47,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/3574/2018/7/17/Dr-DY-Patil-Institute-of-Technology-Pune-CAMPUS1.jpg,DYPIET Pimpri - Dr DY Patil Institute of Technology,"Pune, Maharashtra",BE Mechanical Engineering,460 000,55.55,35.39,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/2006/2018/9/24/Campis,"DY Patil College of Engineering, Pune","Pimpri-Chinchwad, Maharashtra",BE Mechanical Engineering,493 168,52.33,53.92,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/4082/2020/11/7/College,"KK Wagh Institute of Engineering Education and Research, Nashik","Nashik, Maharashtra",BE Mechanical Engineering,316 000,47.44,17.72,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/4618/2018/5/21/DKTES-TEI-Ichalkaranji01.jpg,"DKTE Society's Textile and Engineering Institute, Ichalkaranji","Kolhapur, Maharashtra ReviewAdmissionsCourses &amp;",B.Tech Mechanical Engineering,382 000,45.27,26.49,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/3132/2019/4/5/Campus,"Shri Guru Gobind Singhji Institute of Engineering and Technology, Vishnupuri","Vishnupuri, Maharashtra",B.Tech Mechanical Engineering,336 918,44.47,89.99,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/4474/2018/5/17/Fr-Conceicao-Rodrigues-College-Event.jpg,"Fr Conceicao Rodrigues College of Engineering, Mumbai","Mumbai, Maharashtra",BE Mechanical Engineering,560 000,87.17,38.75,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/4337/2019/3/4/Campus,"Government College of Engineering and Research, Pune","Awasari Khurd, Maharashtra",B.Tech Mechanical Engineering,96 659,84.25,20.85,0
https://cache.careers360.mobi/media/colleges/social-media/media-gallery/1352/2019/7/3/Campus,"Amity University, Mumbai","Navi Mumbai, Maharashtra",B.Tech Mechanical Engineering,888 000,75.66,65.21,0
