pagination,comp_name,comp_role,comp_exp,comp_loc,comp_desc,mskills,cmp_skills
https://www.naukri.com/jobs-in-maharashtra-5322,Unnati,Acct Mgr/Client Servicing– Di GIT  al Mktg | B2B mktg solns platform,3-5 Yrs,Mumbai,Minimum 3+ years of working experience as a Di GIT  al Account Manager or field related to...,"di,Marketing,di","di,GIT,al,Marketing,di,GIT,al,strategiesCustomer,ServiceProject,ManagementSocial,MediaGoogle,AdWords,campaignsClient,ServicingAnalytics"
https://www.naukri.com/jobs-in-maharashtra-3245,Deutsche Bank,Origination & Advisory (O&A) - Analyst to Associate,3-5 Yrs,Mumbai,Desired background: MBA Finance / CAs with 3-5 years experience in broader financing ro...,"Office,and","MS,Office,PowerpointFinancial,statementsSenior,AnalystDiversity,and,InclusionM&ACredit,analysisInvestment,bankingCapital,market"
https://www.naukri.com/jobs-in-maharashtra-699,Zeki  Software    Solutions,Business Developer / Sales    Marketing     Manager,0-2 Yrs,Mumbai,"Experience 0 - 3 Years Solid computer skills, including MS Office and knowledge of appl...",Marketing,"EnglishLead,generation,Marketing,ManagerComputer,skillsWeb,analyticsGoogle,AdWords,Client,relationshipSales,process"
https://www.naukri.com/jobs-in-maharashtra-4421,Convergence IT Services Pvt Ltd,UI/UX Designer,2-7 Yrs,Mumbai,Strong user interface design experience for web and mobile applications Requirement Ski...,Marketing,"typographyuser,interfaceGraphicsWeb,technologiesUser,interface,designingIllustratorSocial,media,Marketing,campaigns"
https://www.naukri.com/jobs-in-maharashtra-3605,EBIZ INFO SOLUTION PVT. LTD.,Tele  Marketing     Executive - Tender Information,4-7 Yrs,Mumbai,Cold Calling and Lead GenerationLead ClosingMaintaining Lead and Client Data BaseClient...,Marketing,"Cold,callingLead,generationCustomer,satisfactionDatabaseAccount,managementTele,Marketing,Executive"
https://www.naukri.com/jobs-in-maharashtra-2351,Rialtes Technology & Solutions LLP,IT Infrastructure Engineer,5-10 Yrs,Pune,"Knowledge of computer hardware systems,  Software   , and MS Office ProductsAmazon Web Serv...",Office,"Computer,scienceComputer,hardwareNetworkin,GIT,infrastructureWindowsCCNATroubleshootingMS,Office"
https://www.naukri.com/jobs-in-maharashtra-1227,Canam Consultants Limited,Senior Counsellor (USA/UK/Canada),1-6 Yrs,"Chandigarh, New Delhi(Barakhamba Road), Hyderabad/Secunderabad(Somajiguda), Pune, Ahmedabad, Chennai(Nungambakkam), Amritsar, Bangalore/Bengaluru, Delhi / NCR","Overall responsibility for taking enquiries, conversions and supervising the visas for ...",study,"study,visaOverseas,EducationCounsellingTrainingCoordinationSales,SupportEventsRoad,Shows"
https://www.naukri.com/jobs-in-maharashtra-2653,Accenture,SAP Master Data Governance Application Lead,6-8 Yrs,Pune,Technical Experience : a: Create an Integration test Plan with for MDG Data Services In...,"C,C","SAP,Master,Data,GovernanceCommunicationMDG,C,/,V,/,MMDG,C,/,VanalyticalIT,SkillsTestingSAP"
https://www.naukri.com/jobs-in-maharashtra-1367,IBM India Pvt. Limited,Package Consultant: SAP FIN CO,2-6 Yrs,Mumbai,Experience in working with teams to prioritize work and drive system solutions by clear...,skills,"IT,SkillsTestingSAPInterpersonal,skills,Software,packagesTime,managementCreative,designingManager,Technology"
https://www.naukri.com/jobs-in-maharashtra-1573,ecolab,Market Insights Procurement Analyst,5-10 Yrs,Pune,Understand how changing external market dynamics may impact the cost of material sourci...,Marketing,"ProcurementCommunication,SkillsDiversity,And,InclusionFinanceSourcingSupply,ChainAnalytics,Marketing"
https://www.naukri.com/jobs-in-maharashtra-5313,Hikaho System Private limited,Lead Designer -Product,5-10 Yrs,Nagpur,Preferred Modular Furniture / seating Background with knowledge & working experience on...,of,"Designnew,design,concepts,of,productsproduct,design,improvement"
https://www.naukri.com/jobs-in-maharashtra-5271,Elixir Web Solutions,Manager/Senior Manager - Risk &  Marketing     Analytics - SAS,4-9 Yrs,Mumbai,"Skill Set : - Retail analytics, e-retail, campaign analytics with retail and  Marketing     ...",Marketing,"SASRetail,AnalyticsRisk,Analytics,Marketing,AnalyticsAnalytics"
https://www.naukri.com/jobs-in-maharashtra-3619,Fitternity,Senior  Marketing     Manager,3-5 Yrs,Mumbai,Experience with Google ad words / SEM Strong analytical and data - driven thinkingGradu...,"advertising,Marketing","advertising,agencyContent,managementBrand,managementOnline,Marketing,Social,mediaServiceSEMSEO"
https://www.naukri.com/jobs-in-maharashtra-3815,Kitchen Essentials, Marketing     Manager,3-6 Yrs,Vasai,"Building a  Marketing     plan & identifying new markets, products, coordinating with the ad...",Marketing,"POPadvertising,agency,Marketing,planningAtl"
https://www.naukri.com/jobs-in-maharashtra-4153,DelaPlex  Software   , PHP   developer,5-10 Yrs,Nagpur,Candidate should have experience in  MySQL  / Sql and ideally stored procedureCandidate s...,skills,"IT,Skills,PHP,CSS,JavaScript,Analytical,skills,jQuery,Front,end,GIT"
